Title,Contents,Date
They immediatly helped me and forwarded…,They immediatly helped me and forwarded my problem to the right people who could help me.,"Dec 4, 2019"
Seriously don't shop here !!!!!!,"I am extremely disappointed with the service from this company and would highly recommend anyone using this site to think twice about shopping with them !I live in the uk, I have placed 4 orders in total and only 1 of those arrived as paid for as for the other 3 first was placed as a single order though I only recieved 1 of the 4 garments ordered as a single order. When I contacted the company through their online chat I waited almost half hour before connecting with anyone and was informed they had no idea why this happened but they did request those items to be re ordering and sent so at least they did sort this out quickly!Then I placed another order 2 weeks later, buying 3 items though ordered 2 separately but both within 10 mins of each other paying for next day, this was on a Friday.On the Saturday  ( next day ) I only recieved the first order and the second one with the 2 items didn't arrive, made contact again waiting a long time before getting through and was told I'd have to wait till Monday, in Monday still nothing waited again to get through on their online chat and was informed I had to wait till Tuesday, Tues came and still nothing, again waited to connect and was informed it could now be passed to their specialist team to investigate. I received one email to inform me the specialist tem now had my query and would get back to me shortly but if I had anymore questions or concerns this person would be happy to help, that was Tuesday morning, now Wednesday and I've still heard Nothing, I sent an email to the person saying he would be happy to help and he hasn't responded, I've gone back to the site to use the online chat only to find this is no longer an option  !My order comes to the value of £154 and yet they have done absolutely Nothing to resolve it. I can't speak to anyone and they continue to advertise these items for sale so I don't understand why I am having such issues !I would seriously suggest that anyone thinking of buying from Asos look elsewhere  !","Dec 4, 2019"
Do not order if you live in Canada,"Do not order if you live in Canada! Worst customer service. On top of the item amount you have to pay customs. If it doesn’t fit, you have to PAY to return. All of that money is not refunded. The customer service rep I chatted with was terrible. Thanks Jasmin. You suck. I’m am so dissatisfied. The product wasn’t what I expected either. Ran super large. I tried to find reviews on their website without any luck. Most likely they wouldn’t have many great reviews!  Disappointed.","Dec 4, 2019"
I have been dealing with Francesca and…,I have been dealing with Francesca and she's been very helpful and efficient.,"Dec 4, 2019"
Great customer service,Great customer service,"Dec 4, 2019"
Love Asos,Love Asos. Always do what they say and great for presents.,"Dec 4, 2019"
I was in touch with Asos to find out…,"I was in touch with Asos to find out why my tracking number was not showing any info and the woman I talked on the day before simply told me to wait a few days. I contacted again and spoke with Michael, who was really sweet and figured out everything for me. He was really helpful!","Dec 4, 2019"
We bought a black north face jacket on…,"We bought a black north face jacket on Saturday at a good id price for my daughter for Christmas. This was her one wish to get a north face jacket. To my disappointment, even though the money was taken straight away and all seemed to be perfect.. I received an email aday later to say unfortunately they cant sell me the jacket for security reasons.I have never experienced anything like this before, i persumed once the item was paid for the item was yours. My daughter is now distraught.This is a Terrible service. Iwill never buy from this company again or will any of my friends and family.","Dec 4, 2019"
Very polite and extremely helpful in…,Very polite and extremely helpful in resolving my issue,"Dec 4, 2019"
I spoke with Navpreet on Live Chat with…,I spoke with Navpreet on Live Chat with a returns query. Although it took a while to get through to anyone to speak to (25 mins) - Navpreet was really helpful and answered all my questions within minutes. My query is now resolved and I'm happy with the service received,"Dec 4, 2019"
Great Customer Service,"Olivia was quick, helpful and friendly! Thank you so much!","Dec 4, 2019"
Lauren was very understanding,"Lauren was very understanding, thorough and helpful!! She was great!!","Dec 4, 2019"
Kris was very helpful and rectified my…,Kris was very helpful and rectified my issue,"Dec 4, 2019"
Really helpful and efficient!,Really helpful and efficient!,"Dec 4, 2019"
Delayed order delivery by 7 days…,Delayed order delivery by 7 days without telling me. Spent over £100 on the order and had to email them to find out if anything can be sorted. They didn't actually read my email just sent a standard response. I reached out on Twitter and the same thing happened. Overall really poor service.,"Dec 4, 2019"
Great help.,Great help and sorted the issue quickly.,"Dec 4, 2019"
Shocking Service,"Delivery estimation say it will take 11 days to come, when I enquired about this the help was no use whatsoever","Dec 4, 2019"
Good service really !!,Good service really !!,"Dec 4, 2019"
Luke was very helpful and patient with…,Luke was very helpful and patient with me and provided a solution for my problem!,"Dec 4, 2019"
great support,I was very happy with Jamie's support.,"Dec 4, 2019"
Really helpful,Danielle was really helpful today sorting out my order of refund.,"Dec 4, 2019"
Delivery like it's the 1970s,"Delivery is terribly slow:  10 days!  What a joke.  I queried the wait on the 'chat line' to see if I could upgrade my delivery.   'Too late', they told me and what about cancelling I asked 'Too late' they told me again and 'rules are rules'.  This morning, several days later,  I checked the status of my order and they still haven't sent it.  Come on!  My daughters and I will be shopping elsewhere from now on.","Dec 4, 2019"
i had a great experience with christine,i had a great experience with christine! really i had no idea that she will be that nice to chat with!! she deserves 10 stars not only 5!,"Dec 4, 2019"
fast and efficient,solved my issue quickly and efficiently.,"Dec 4, 2019"
Luke,"Luke was very helpful, and went out of his way to assist me. The issue was resolved within two minutes.","Dec 4, 2019"
cutomer service review,I have been speaking today with Napreet from Asos customer service and he was very helpful and polite. he managed to solve my problem very fast.,"Dec 4, 2019"
Graeme helped me great with my queries,Graeme helped me great with my queries. The chat closed on early but he found another way to contact me to resolve my issue.,"Dec 4, 2019"
Had a nightmare trying to get hold of…,Had a nightmare trying to get hold of Hermes regarding a parcel that had been delivered to a random address. ASOS chat was SO helpful and offered to either refund or resend the lost items straight away.,"Dec 4, 2019"
IF I COULD GIVE ASOS ZERO STARS I…,"IF I COULD GIVE ASOS ZERO STARS I would. If you are ordering from asos, forget about customer service. I’ve been ordering from them for years now and they could simply careless about their customers. I’ve had two incidents with ASOS. The first time I thought was just bad luck but after this time , I will never shop on ASOS again or recommend it to anyone. First experience involved me sending it to another address that was not convenient to me, I notified ASOS and they said it was too late so I go and pick it up from the address and low and behold IT WAS NOT THERE. I told ASOS someone took my package , but instead of offering me a replacement package, they told me I need to notify the police. And what about the money I spent ASOS? Nope they don’t care. Second incident is that they send me an item that’s faulty and they sent the wrong size. When I asked them for some sort of compensation, Tara kept insisting that I return the package. The item is out of stock so returning the package means I would lose the item. I liked the shoes and would have been okay keeping them if I wasn’t paying full price for them. I tried to explain that to her and she stated the only way I could get my money back is by returning the item. I then asked to speak to a manager to which she stated she “couldn’t do” because they have protocols they need to handle and then rudely ended the chat on me . Even shein refunded me when their item was faulty . Waste of money. I rather just buy the items from the companies themselves than support an industry with no customer service.","Dec 4, 2019"
Sophie was so nice.,Sophie was so nice.,"Dec 4, 2019"
Clear and fast explanation,Clear and fast explanation,"Dec 4, 2019"
ASOS ripping customers off as usual,"Sadly incredibly poor service from ASOS and still no resolution. I renewed and paid for my ASOS Premier on 11th Nov but it hasn’t seemed to register on the site so when I went to place an order with the Black Friday discounts it refused to offer me free Premier Delivery and wanted to charge me £5.95 for next day delivery. Despite chasing ASOS repeatedly to question what happened, everything was selling out. After having their iT team look into it, it started working yesterday - Tuesday. When everything I wanted was out of stock. How very convenient. I am now incredibly disappointed to see you’ve started charging me from the day I ordered it despite not being able to use it. I asked for the start date to be amended to yesterday and not the 11th Nov as it’s an error with the company that I haven’t been able to do so. I was told they couldn’t do this for ‘legal and security reasons’ which doesn’t make any sense. I am fuming and will be taking this further.","Dec 4, 2019"
My parcel was delivered to the wrong…,My parcel was delivered to the wrong address (all my fault) but the kind Tara with customer service help me get a replacement...great work Tara!,"Dec 4, 2019"
April was great,"I contacted live chat as I had a missing parcel, April was very efficient and helped with my issue, couldn't have asked for more","Dec 4, 2019"
Great customer service provided by…,Great customer service provided by Oliver. Thanks!,"Dec 4, 2019"
Fast replay and very helpful!,Fast replay and very helpful!,"Dec 4, 2019"
Good support,Lauren was very nice and polite and took quick actions to help me. Very appreciated.,"Dec 4, 2019"
Very disappointed...,I recently placed an order as a birthday gift which never arrived. The person I queried it with on the Asos online chat was extremely unhelpful and didn’t seem to care at all. I decided to place a different order and paid for a next day delivery service. This was 4 days ago and I’m still waiting......trying to get help from the online ‘chat now’ is ridiculous as you just wait and wait to be connected.It’s all just an all round poor service.,"Dec 4, 2019"
Connor helped smooth thing over to the…,Connor helped smooth thing over to the best of his ability. Oliver was rude and curt and could really use so customer service training. issue is not resolved but policy is policy. Nothing that can be done about receiving a BROKEN item. Can only return and not receive a replacement.,"Dec 4, 2019"
Great and quick help!,Great and quick help!,"Dec 4, 2019"
It’s like talking to a robot,It’s like talking to a robot,"Dec 4, 2019"
Sabrina was very helpful,"Sabrina was very helpful , efficient and patient.  Thank you for excellent customer service :-) , Kind regards,  Santina","Dec 4, 2019"
Kind,"Kind , understanding, helpful, anything you would expect and more! Thank you.","Dec 4, 2019"
Brilliant service and very kind !,Brilliant service and very kind !,"Dec 4, 2019"
Oliver was very helpful with my order…,Oliver was very helpful with my order issue.  He sent out a replacement jacket and was very accommodating.  Thank U Oliver.,"Dec 4, 2019"
Customer Service A+,"There was a problem with my order leaving the warehouse, however, customer service promptly solved the problem and reissued my order.","Dec 4, 2019"
helpful,"Although my problem isn’t resolved yet, Daniel was committed to helping me throughout our conversation. Will hope to hear my good news tomorrow.","Dec 4, 2019"
Nice guy.,Nice guy.  Helpful.,"Dec 4, 2019"
You are just perfect,You are just perfect. You solved my problem like I was in the store to speak with you directly. Thanks so much and God bless,"Dec 4, 2019"
I had an issue with an order not going…,"I had an issue with an order not going through and when I contacted the chat support, the person didn't seem sympathetic to my situation at all and didn't have any sense of urgency in helping me get the issue resolved.It's like they had an ""I don't care if I have your business or not"" attitude.","Dec 4, 2019"
Thank you Mabz,Thank you Mabz,"Dec 4, 2019"
Oliver was a delight to work with and…,Oliver was a delight to work with and so easy and friendly. Very good at his job!!!,"Dec 4, 2019"
I got lot of help,I got lot of help,"Dec 4, 2019"
James has been excellent with his…,James has been excellent with his service. He provided clear and helpful information.,"Dec 4, 2019"
Sarah was prompt,"Sarah was prompt, polite and was very quick at resolving my query. Great asset to the business!","Dec 4, 2019"
I order the dresses for over a month but still haven't receive the dresses yet..,"I order the dresses for over a month but I still haven't receive them yet. I was given a reference number and was told by the agent with the reference number and my address, I can contact my local post office to track the package. However the agent then said the order is untraceable. With common knowledge, a post office needs a tracking number in order to track a package, the reference number in my order is not the information which my local office can use. I'm very frustrate right now as I need the dresses for Christmas and I'm so worried that it won't be delivered on time.","Dec 4, 2019"
Great customer service,"I was very distressed and upset that my package had been stolen, Suzanne helped me by leading me through questions to check if my package was really stolen and put in for a replacement of my package. I am so satisfied with her customer service, and I am so grateful for ASOS for being so understanding.","Dec 4, 2019"
My chat helper was great,My chat helper was great.  No issues at all.,"Dec 4, 2019"
GREAT Customer Service,Selina was great help! 1st time customer and I am pleased with the customer service. Although the shoes did not fit. LOL,"Dec 4, 2019"
Fast and knowledgeable!,Fast and knowledgeable!,"Dec 4, 2019"
Very understanding and was able to…,Very understanding and was able to provide a couple of solutions to rectify the issue.,"Dec 4, 2019"
Suzanne was kind and helpful,Suzanne was kind and helpful,"Dec 4, 2019"
They do a great job of customer service,They do a great job of refunding you if overnight shipping doesn’t come in time or if there are shipping issues,"Dec 4, 2019"
super quick,"Been trying to contact through the social media channels forever as I had been sent a wrong item. Ended up coming to the live chat and got through instantly (probably because it was nearly 1:30am 🤣) however, was spoken to by a lowvely gentleman named Ben thay got straight to the point and passed the issue on to relevant channels! Very speedy and quick but also saved me waiting forever for a response through Twitter DM.","Dec 4, 2019"
Oliver was extremely helpful in getting…,Oliver was extremely helpful in getting my replacement orders process since UPS delivered my orders to the wrong address.,"Dec 4, 2019"
Asos as a company are fantastic,Asos as a company are fantastic. Asos  orders that get delivered via Dpd are fantastic.  Asos orders that get despatched into the care of Hermes are s.h.i.t.  Hermes are pointless. Hermes drivers ( to my address ) are blatant liars. They either say they've tried to deliver then return my order back to Asos having not bothered trying to deliver. The absolute classic one.. parcel delivered to my porch.. I LIVE IN A BLOCK OF FLATS!! Priceless!,"Dec 4, 2019"
Thank for your help,Thank for your help. Hope to solve the problem quickly.,"Dec 4, 2019"
Hannah was so helpful!,Hannah was so helpful. I didn't have to wait too long and she was polite!,"Dec 4, 2019"
Narina was great!,Narina was great!,"Dec 4, 2019"
Dreadful customer service,Dreadful customer service,"Dec 4, 2019"
Jamal was very helpful and insightful…,Jamal was very helpful and insightful and he responded quickly.,"Dec 4, 2019"
ASOS has been my favorite company for…,"ASOS has been my favorite company for years due to free fast shipping, easy returns, great product, and great service. Recent changes to United States operations have been abysmal, unfortunately, and I would no longer recommend supporting the company in the US due to the following reasons:1) USPS shipping was suddenly and secretly removed for returns. Customers could choose between UPS and the convenience of a USPS home pickup. Suddenly, only UPS is available. When talking to customer service, I was told to walk 30 minutes to a UPS drop-off location with my return.2) Orders arrive by inconsistent carriers and are frequently delayed.3) The ""What's new"" assortment is no longer relevant for US shoppers. It is a mess of random product and not the assortment that UK users see.4) Quality of product has declined. I don't know who is responsible for operations in Georgia, but it has been messy and disappointing. I'm hoping to give ASOS another chance given their amazing extended sizing, but they will no longer be my go-to fashion destination and I worry for their future as a company. I wholeheartedly recommend ASOS for customers in the UK, but the US experience is disappointing.","Dec 4, 2019"
Very nice customer service,Very nice customer service! Highly recommend,"Dec 4, 2019"
Great customer service,Harry was super helpful! He made the process quick and easy. Thank you for your help.,"Dec 4, 2019"
So helpful and really easy,So helpful and really easy! Resolved my issue in minutes! :),"Dec 4, 2019"
Zahid,"Zahid, the person who helped me was quick, and very helpful!","Dec 4, 2019"
Delivery issue was sorted out quickly…,Delivery issue was sorted out quickly by Shohaib. Thanks for the help!,"Dec 4, 2019"
Quickly resolved my issue,Quickly resolved my issue. Thanks!,"Dec 4, 2019"
quick and easy responses,quick and easy responses,"Dec 4, 2019"
great,great. Problem was solved,"Dec 4, 2019"
"Jack, Great Customer Service",Jack was helpful during our chat today.. He made sure I got what I needed.. Great Customer service.. Thank You Jack!!,"Dec 4, 2019"
Great customer service,"I used the online chat feature to speak to customer services about a returns issue, and the consultant, Janine, was very helpful. She was fast, efficient and helped me with my issue. We were able to get the issue sorted. Very impressed with the service","Dec 4, 2019"
Awful customer service,"Fazari was rude throughout, showed no understanding of my problem and was a long way short of helpful. Very disappointed with ASOS on this occasion, and will not be shopping with them again.","Dec 4, 2019"
Marta was really helpful thank you.,Marta was really helpful thank you.,"Dec 4, 2019"
REFUND,AMAZING !!!! Selina was the only member of this team to help sort my lost order out after trying for over a week and listening to more than 3 people. She helped me out straight away and now I am moving forward to getting a refund. I can't thank her for her enough.,"Dec 4, 2019"
My black Friday experience ruined!!,My black Friday experience ruined!!I for one will definitely reconsider ordering with ASOS again.The website duplicated my order. I went VIA the live chat to cancel one once I realized I had been charged twice to be told it is past 60 minutes and I had to return the item back in my own time. This is a massive inconvenience and very unfair. I am well within my consumer rights to cancel an order within 14 days. ASOS deny customers this right through their process. Customer service is very poor and when you ask to speak with a manger they deny this with automated messages,"Dec 4, 2019"
I like your clothes but your stupid…,I like your clothes but your stupid euro currency got me messed up spending so much more than i thought. I also don’t like you using fedex PLEASE stick to UPS,"Dec 4, 2019"
Return,Quick to help sent options and was polite,"Dec 4, 2019"
Hannah was helpful and even referred to…,Hannah was helpful and even referred to a specialist team to help with my matter.,"Dec 4, 2019"
Advisor was very helpful thankyou.,Advisor was very helpful thankyou.,"Dec 4, 2019"
"If I could give them zero stars, I would","If I could give them zero stars, I would. Their refund process and customer service is so terrible, I’d rather pay more elsewhere than shop with them. Honestly, it’s not worth it.","Dec 4, 2019"
Very shocking how a big company deals…,"Very shocking how a big company deals with customers, to be told that there is nothing they can do with my order been delayed when I paid for premier delivery and couldn't use it until after placing the order. Very disappointing how I as a customer spend money every month shopping at this company and when it comes to a simple problem that should be handled with care. I get told nothing they can do when other companies around are dealing with same stress and are not treating faithful customers this way. Totally unfair","Dec 4, 2019"
Good luck receiving a refund,Waiting for more than one month for refund after I got the wrong product type (And returned it).The customer service in Facebook messenger reply in a delay of at least one day without even looking at the last messages written in the same conversation.Worst service I’ve got ever !,"Dec 4, 2019"
Online chat,"Order lots from the site an never had any problems . Had to use online chat today to confirm a return , took a while to get a reply but its a busy time of year , got am problem resolved in no time .. ideal .","Dec 4, 2019"
Courtney was a great help in regards to…,Courtney was a great help in regards to my asos return enquiry,"Dec 4, 2019"
Shop elsewhere!,Paid for premium delivery - £9.95 for a years worth of next day delivery. 9/10 they do not deliver next day. I also raised this issue for a refund of the £9.95 as they don’t give you what you have paid for. Asos clothes are good but there delivery service is not. Plenty of other online clothing companies that are way better.In my opinion - shop elsewhere!,"Dec 4, 2019"
Amy was very understanding and helpful,Amy was very understanding and helpful,"Dec 3, 2019"
I do love shopping on ASOS and I do…,"I do love shopping on ASOS and I do very frequently! Although my experiences during my last few orders have been very shocking for an establishment that I spend soo much money at. I placed a few orders and haven't received them, I've contacted customers services to be 1- ignored on live chat, 2- been given false information and 3- not being kept in the loop about order issues and or delays. Although today I was kindly greeted by the lovely Lauren who was very attentive, helpful and friendly. Soo many the Lauren in customer services who answered my questions and but my mind at ease. Unlike Arnie who ended my live chat before it had even begun (for reference these was chat ref 24151845).","Dec 3, 2019"
Christine was super helpful and…,"Christine was super helpful and resolved my issue immediately. Due to her customer care, she's kept my relationship with ASOS intact, and i'll be happy to shop there again.","Dec 3, 2019"
Really disappointed with ASOS,"Really disappointed with ASOS. I have been a loyal customer and made an order last week. After wondering why my order had not been dispatched, I tried logging into my account only to find it had been blocked (no notification or email sent to inform me of this). I have been back and forth with customer service emails and still NOTHING has happened and my account is still blocked. I understand and appreciate security, but there is no excuse to take my money, block my account and not dispatch my order on time.","Updated Dec 4, 2019"
ASOS customer care are always very good…,ASOS customer care are always very good and solve problems as quickely as possible,"Dec 3, 2019"
Quick and painless replacement,Quick and painless replacement! Thank you Asos :),"Dec 3, 2019"
Michael was really helpful and polite,"Michael was really helpful and polite. It will be perfect if the order finally arrives, as it was supposed to be delivered last week and no delay was informed","Dec 3, 2019"
Terrible service,"Terrible service, pay £9.99 a year for next day delivery which they can’t do, after a few days of complaining and get very vague responses they cancelled my order and just refunded me, when they do message me back they can’t even get my name right, asked on many occasions to speak with a manager which is constantly ignored, nothing offered in way of apology for parcels missing and very late deliveries","Dec 3, 2019"
Francesca is a BABE,Francesca is a BABEshe totally got my issue and empathised with me. Best advisor I have ever had on ASOS,"Dec 3, 2019"
Vlad,"Vlad, top Lad. Thank you for your help today in my quest to finding my lost parcels. have the best christmas dear sir.","Dec 3, 2019"
thanks Luke for quick help.,thanks Luke for quick help.,"Dec 3, 2019"
Connor was very quick at helping me…,Connor was very quick at helping me today with my returns and provided me with the information i required!,"Dec 3, 2019"
Amazing service:),Amazing service:),"Dec 3, 2019"
Great customer service,"Quick to respond, really helpful and sorted my issue pretty much immediately. Very polite and answered all my questions. Thank you!","Dec 3, 2019"
very quick and efficient response,"very quick and efficient response, honoured a previous reduced price as they had incorrectly refunded me instead of an exchange.","Dec 3, 2019"
Although I had to wait 30 minutes for…,"Although I had to wait 30 minutes for someone to talk to me, Christine was very good and told me ""how it was"" with my order.","Dec 3, 2019"
Won't ever be using ASOS again,Won't ever be using ASOS again. They've clearly been making cuts to improve their profit margins and it's showing with their customer experience. They've failed to deliver an order that should have arrived 5 days ago and their customer service team are impossible to get a response from (other than the copy and paste first-response message. AVOID.,"Dec 3, 2019"
Online Chat,"Using online Chat - it took a while for anyone to answer my chat call, I almost gave up thinking it had frozen and no one would answer. However, I left this running whilst I got on with some other bits and then someone responded almost an hour after I first opened the chat. Tamara was really helpful in dealing with my concerns and resolved the issues efficiently. Thank you","Dec 3, 2019"
"Poor Customer service, Poor delivery","I have been using ASOS for the past 6 years and I'm sad to say that their customer service has gone downhill. I placed 4 orders in the last 4 months. In my first order, I had received two of the same t-shirts and the wrong shoe size. I never received two of my orders because they lost my parcel along the way and I had to find out through their live chat. In my last order, they sent me the wrong pair of trousers and the wrong belt. In summary, every time I place an order, there's bound to be a mistake. Very disappointed!","Dec 3, 2019"
very helpful live chat service,very helpful live chat service,"Dec 3, 2019"
Excellent customer service!,Excellent customer service!,"Dec 3, 2019"
Lauren was great,Lauren was great,"Dec 3, 2019"
Unreliable,they were unreliable and not organised,"Dec 3, 2019"
Great customer care,"Great customer care, super nice people, always friendly and willing to explain everything. Thank you for your patience :)","Dec 3, 2019"
Amber was very kind and patient trying…,Amber was very kind and patient trying to help me find a particular dress,"Dec 3, 2019"
had some questions on my order and used…,"had some questions on my order and used the chat, Mihaela was very helpful and quick to answer, thank you","Dec 3, 2019"
Customer friendly !!,Customer friendly !!,"Dec 3, 2019"
Placed an order,"Placed an order, didn't notify me that it will take up to 11-days to deliver. Once I checked told me est. date, was too far off so I wanted to cancel order. Wouldn't let me cancel. Ridiculous company, will never purchase from again.","Dec 3, 2019"
April was a pleasure!,"April was a pleasure to work with! She was fast, polite and a real asset to ASOS. Will continue to shop with ASOS, especially knowing the team behind them has staff like her!","Dec 3, 2019"
5* Every time,"ASOS customer service, as always, is excellent! Such lovely people.","Dec 3, 2019"
Patient and helpful,Patient and helpful,"Dec 3, 2019"
Professionally and quickly answered my…,"Professionally and quickly answered my question, I am satisfied !!!","Dec 3, 2019"
May was really helpful and has great…,May was really helpful and has great communication.,"Dec 3, 2019"
Exceptional customer service.,Exceptional customer service.,"Dec 3, 2019"
Brilliant customer service from a…,Brilliant customer service from a gentleman named Ethan. Sorted out my problem instantly.,"Dec 3, 2019"
Amazing service!!!,Amazing service!!!! Continue the good work! It really helps that you guys talk to your customers and my favourite part is you actually ask people how their day is. Some of us might be going through some things and you really make our day feel better! Lovely customer service!,"Dec 3, 2019"
Amazing Becky was outstanding,"Amazing Becky was outstanding, she helped with my query and was polite and listened very well, I was on with Owen before who was lazy, made me repeat things as he was telling me to do certain things multiple times that I had already done, Becky is trying to fix a problem I had with delivery, Owen told me he could do nothing even though I contacted DPD and they said he just needed to contact them to fix the problem, he said he could but basically because it was the wrong address and not a spelling mistake he won't contact them, but as I say Becky was outstanding","Dec 3, 2019"
Sorted out my issue with my return…,Sorted out my issue with my return speedily and efficiently.,"Dec 3, 2019"
Mihaela was able to promptly resolve my…,Mihaela was able to promptly resolve my query and provide an excellent level of customer service.,"Dec 3, 2019"
ASOS chat with Sadia was quick and…,ASOS chat with Sadia was quick and helpful! Sorted in a couple of minutes,"Dec 3, 2019"
Sara was helpful and she did her best…,Sara was helpful and she did her best to help,"Dec 3, 2019"
Quickly resolved by Courtnay,Quickly resolved by Courtnay. Excellent service,"Dec 3, 2019"
Olivia from customer service,"Olivia from customer service, was very understanding and helpful! It’s a shame they don’t use the best delivery courier.Thanks Olivia for a great experience and finding a solution.","Dec 3, 2019"
Proficient,Proficient help. Issue was resolved quickly and effectively,"Dec 3, 2019"
Very nice and helpful,Very nice and helpful,"Dec 3, 2019"
Issue resolved swiftly!,"Had an issue with returns packaging but Kate resolved my query quickly and efficiently, whilst being very friendly.","Dec 3, 2019"
Not very helpful,"To be honest, I did not find this service helpful. They offered me no solution or compensation for the error and it was a bit of a waste of time.","Dec 3, 2019"
I have been speaking to Mia this…,I have been speaking to Mia this morning regarding a missing delivery and her customer service is incredible.5 STARS!,"Dec 3, 2019"
great service,April was really helpful and gave me all the information i needed,"Dec 3, 2019"
Sara is the best !,Sara is the best !Very helpful Thanks,"Dec 3, 2019"
My query was handled in a fast and…,My query was handled in a fast and efficient manner by Emily. Thank you so much.,"Dec 3, 2019"
Very helpful thank you,Very helpful thank you,"Dec 3, 2019"
Very helpful and polite,Very helpful and polite,"Dec 3, 2019"
Always amazing service,"Always amazing service - I've been waiting 2 weeks for my refund, contacted ASOS on live chat, gave them my royal mail receipt and April on live chat said they had not received the item and just issued a full refund straight away.","Dec 3, 2019"
Fundamentally poor communication.,Neglected to mention when I made the order that the delivery time had been increased from 3-5 working days to 11 until after I made the order. Failed to promptly reply to email enquires. Fundamentally poor communication with customers.,"Dec 3, 2019"
Scott is great!,Scott is great!,"Dec 3, 2019"
Unable to help,"Unable to help, asked many unnecessary questions only to refer me to another customer service team who would contact me by email. Not satisfactory.","Dec 3, 2019"
Quickly answered my question!,Quickly answered my question!,"Dec 3, 2019"
Very fast and efficient service,Very fast and efficient service! Thank you!,"Dec 3, 2019"
Great quality and the chat if you have…,Great quality and the chat if you have an issue with something is very good,"Dec 3, 2019"
"Jerrilee, a very helpful CS!",Jerrilee was very helpful and help to me sort the refund of my 4 orders that were returned because of APG's faults.,"Dec 3, 2019"
Helped.,The rep helped me.,"Dec 3, 2019"
If you’re lucky enough to get your…,"If you’re lucky enough to get your parcels delivered by DPD, ASOS provide a brilliant service that you cannot match from anywhere else, especially on there returns.Anything ordered that is delivered by Hermes, I have had nothing but problems with such as, them not delivering in the time frame, saying it’s delivered and signing it themselves and it not being delivered on that day altogether","Dec 3, 2019"
Good and fast service,"Good and fast service, I was happy to give the service representative","Dec 3, 2019"
Leah helped me and answered my question…,"Leah helped me and answered my question accordingly, she looked into the issue I was having and confirmed a question I had, she was excellent.","Dec 3, 2019"
GREAT CUSTOMER SERVICE!!,Lots of information and went out of their way to help me,"Dec 3, 2019"
The issue was resolved quickly and the…,The issue was resolved quickly and the agent was helpful,"Dec 3, 2019"
"Delivery good, products good","Free Next Day Delivery for £9.99 really sells ASOS to me. Can get some bargains and prices are usually competitive. Upset they took away the rewards scheme but the service is too good to stop using. Never had any issues and I've done 40+ orders over the years (100+ items) and any problem has been solved by Facebook messenger which is fantastically effortless. I've converted many people to ASOS over the years, should have a refer a friend scheme.","Dec 3, 2019"
Customer help chat,I spoke to rhia today and she was so helpful! Really caring and solved my issues,"Dec 3, 2019"
Quick resolve my issue,Quick resolve my issue. Nice services.,"Dec 3, 2019"
Asos has amazing customer service,"Asos has amazing customer service, I had an issue with my order and they took care of it immediately. Their live chat is available 24/7 with very responsive employees ! Thank you Charlie for your help! Very professional !","Dec 3, 2019"
Awsome,Awsome nice chat,"Dec 3, 2019"
It was fast and easy.,It was fast and easy.. sorted my problem and im happy with the customer care,"Dec 3, 2019"
Love this site,Love this site. Great deals & Amazing customer service!,"Dec 3, 2019"
Great customer service!,Great customer service!,"Dec 3, 2019"
Easy and quick chat!,Sean was very quick and helpful!,"Dec 3, 2019"
Great customer service resolved my…,Great customer service resolved my issue very quickly Thank you,"Dec 3, 2019"
very kind,very kind chat,"Dec 3, 2019"
Donika was great,Donika was great! When my order was lost SHe was so sweet and helped me immediately and made sure I got my refund! Thank you :),"Dec 3, 2019"
My first order been cancelled without…,My first order been cancelled without reason and got charged debit orders can only give proper feedback if my second order will be send,"Dec 3, 2019"
Metin was awesome,Metin was awesome. Straight to the point and resolved my issue. Thanks ASOS,"Dec 3, 2019"
Very good service!,Very good service!,"Dec 3, 2019"
efficient,efficientpatientprofessional,"Dec 3, 2019"
Jerrome was excellent.,"Jerrome was excellent.I had a problem with a next-day delivery. It was delayed, but I asked for a refund and Jerrome was really helpful. Now i have to wait 72 hours to see if I can get it :)","Updated Dec 3, 2019"
He was helpful,"He was helpful, kind and quick","Dec 3, 2019"
Craig was amazing,Craig was amazing - after someone else couldn't help me  (or thought they could - but didn't) - and I was so busy - I was getting cross.  He sorted it out beautifully. Hurrah!!,"Dec 3, 2019"
Chat,Chat:  24205655Emma was fantastic and easily resolved my issues.,"Dec 3, 2019"
ASOS experience,"This is my second time ordering from ASOS - first time the package took a month to arrive, second time it never arrived. They only provide a dispatch number not an actual tracking #. At least the chat support are somewhat helpful. We will see if my refund comes through.","Dec 3, 2019"
Quick response and helpful in…,Quick response and helpful in discovering the issue.,"Dec 3, 2019"
Really helpful on the chat,Really helpful on the chat,"Dec 3, 2019"
Very Helpful! Pleased.,Quick resolution & swift response.,"Dec 3, 2019"
i made a mistake on an order size and…,i made a mistake on an order size and got in touch to change from a size 8 to a 10. i was told to cancel the order but it was outside the 15 minutes (it was 25 minutes) since i made the order and the man could not help me. very disappointing since i was quick to spot my error. would make me consider using asos again,"Dec 3, 2019"
Delivery,Fast and conclusive answers.,"Dec 3, 2019"
Awesome experience,Awesome experience,"Dec 3, 2019"
